"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.045479883E2,6.149871239E1,2.309756516E1,8.429091278E1,7.465648656E-1,1.550869235E2,4.731378763E0,3.382098762E0
1.055479872E2,6.149871088E1,2.309756506E1,8.455577316E1,3.989861568E-1,1.599085681E2,4.727872685E0,3.386998215E0
1.065479863E2,6.149870882E1,2.309755621E1,8.445886912E1,3.453106876E-1,1.587312385E2,4.729989556E0,3.384041346E0
1.075479841E2,6.149870276E1,2.309752429E1,8.417041795E1,9.215814264E-1,2.152108245E2,4.731274843E0,3.382244136E0
1.085479831E2,6.149869450E1,2.309751689E1,8.444797805E1,9.398504416E-1,2.073125236E2,4.730211806E0,3.383730679E0
1.095479827E2,6.149868406E1,2.309752044E1,8.434839592E1,9.313609910E-1,1.911285017E2,4.726938556E0,3.388301776E0
1.105479811E2,6.149867213E1,2.309752656E1,8.432608193E1,1.100748558E0,1.811126072E2,4.725957149E0,3.389670494E0
1.115479795E2,6.149866466E1,2.309753445E1,8.450364936E1,9.804802316E-1,1.723420592E2,4.726883752E0,3.388378230E0
1.125479788E2,6.149866123E1,2.309753041E1,8.450223475E1,6.494536020E-1,1.835488311E2,4.725876046E0,3.389783566E0
1.135479804E2,6.149864782E1,2.309753700E1,8.492677189E1,9.692421493E-1,1.765414947E2,4.727735119E0,3.387190233E0
1.145479791E2,6.149864023E1,2.309754415E1,8.480818940E1,8.539633496E-1,1.685823463E2,4.727950581E0,3.386889478E0
1.155479754E2,6.149863816E1,2.309755143E1,8.529917795E1,5.520964397E-1,1.483448432E2,4.727888973E0,3.386975479E0
1.165479747E2,6.149864050E1,2.309756630E1,8.549281491E1,5.677189396E-1,1.092237622E2,4.727740389E0,3.387182877E0
1.175479729E2,6.149864113E1,2.309759559E1,8.547476817E1,1.197657929E0,9.909933672E1,4.728228565E0,3.386501390E0
1.185479726E2,6.149864286E1,2.309760578E1,8.571611666E1,8.799916340E-1,9.261968361E1,4.729063312E0,3.385335614E0
1.195479711E2,6.149864286E1,2.309761594E1,8.582459190E1,7.209362654E-1,9.194452240E1,4.726102506E0,3.389467825E0
1.205479702E2,6.149864340E1,2.309764174E1,8.595554240E1,1.044753312E0,8.963227863E1,4.723124965E0,3.393615712E0
1.215479696E2,6.149864520E1,2.309765818E1,8.610376364E1,9.976722918E-1,8.687811426E1,4.726721320E0,3.388604816E0
1.225479686E2,6.149864761E1,2.309767176E1,8.621886462E1,8.498547990E-1,8.123348187E1,4.728470505E0,3.386163569E0
1.235479677E2,6.149864918E1,2.309767472E1,8.621908209E1,4.387735880E-1,7.134220935E1,4.729281075E0,3.385031396E0
1.245479668E2,6.149864888E1,2.309766550E1,8.608885339E1,8.139372298E-2,7.011276103E1,4.732560214E0,3.380445363E0
1.255479655E2,6.149864678E1,2.309765672E1,8.595715689E1,6.791677476E-2,7.011275330E1,4.731435117E0,3.382019924E0
1.265479639E2,6.149864305E1,2.309765150E1,8.612248822E1,4.114230644E-2,7.011274864E1,4.729677661E0,3.384477249E0
1.275479630E2,6.149864247E1,2.309763055E1,8.591001141E1,1.107401275E-1,7.011273031E1,4.727940980E0,3.386902881E0
1.285479621E2,6.149864071E1,2.309761262E1,8.588797414E1,1.138822076E-1,7.011271459E1,4.730904745E0,3.382761790E0
1.295479614E2,6.149864025E1,2.309759515E1,8.607753059E1,7.051378581E-2,7.011269930E1,4.731839953E0,3.381453489E0
1.305479597E2,6.149864337E1,2.309758372E1,8.588841312E1,1.205576052E-1,7.011268939E1,4.731967060E0,3.381275613E0
1.315479593E2,6.149864711E1,2.309757527E1,8.583643411E1,1.905384426E-1,7.011268211E1,4.732522467E0,3.380498208E0
1.325479575E2,6.149865607E1,2.309758292E1,8.563987222E1,5.589660930E-1,3.842765038E1,4.731819240E0,3.381482473E0
1.335480106E2,6.149866309E1,2.309756943E1,8.573198993E1,6.728839182E-1,3.514008160E2,4.732410007E0,3.380655641E0
1.345480115E2,6.149867172E1,2.309755389E1,8.565387476E1,9.768377033E-1,3.390563821E2,4.732381510E0,3.380695531E0
1.355480100E2,6.149868024E1,2.309755192E1,8.558989918E1,9.896664911E-1,3.472832456E2,4.732467765E0,3.380574787E0
1.365480108E2,6.149868764E1,2.309755516E1,8.568174020E1,8.953346669E-1,8.296979567E-1,4.731028887E0,3.382588166E0
1.375480119E2,6.149869100E1,2.309757049E1,8.566899451E1,6.923394240E-1,3.211634491E1,4.726065954E0,3.389518791E0
1.385480131E2,6.149868938E1,2.309758742E1,8.568090914E1,6.240546891E-1,6.985004788E1,4.727798304E0,3.387102040E0
1.395480165E2,6.149868461E1,2.309759778E1,8.579156462E1,5.249687641E-1,1.065285104E2,4.725613604E0,3.390149421E0
1.405480199E2,6.149867844E1,2.309759417E1,8.586627692E1,4.073414751E-1,1.474919891E2,4.725269369E0,3.390629207E0
1.415480212E2,6.149867546E1,2.309757149E1,8.647568295E1,3.552901770E-1,1.980577742E2,4.726183844E0,3.389354408E0
1.425480232E2,6.149867163E1,2.309758052E1,8.590442820E1,2.578877650E-1,2.010866887E2,4.730743823E0,3.382986834E0
1.435480251E2,6.149866246E1,2.309758045E1,8.517887394E1,6.766927209E-1,1.791066973E2,4.733288852E0,3.379425051E0
