"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.595753125E0,-3.028964712E0,-1.096078408E0,-1.959608957E0
4.615735125E0,-2.598475154E0,-7.137433022E-1,-1.816721717E0
4.635717125E0,-1.755471256E0,-5.934078965E-1,-1.427608227E0
4.655699125E0,-7.907284744E-1,-6.195943594E-1,-7.271217316E-1
4.675681125E0,-2.517567304E-1,-7.786672765E-1,2.131953299E-2
4.695663125E0,4.965272807E-3,-7.079434490E-1,-2.123240948E-1
4.715645125E0,2.610178064E-1,-4.363180625E-1,-1.062904522E0
4.735628625E0,7.950230350E-1,-1.978881964E-1,-1.666374015E0
4.755610625E0,8.504327855E-1,-2.795670748E-2,-1.734488230E0
4.775592625E0,5.333037820E-1,-8.135172665E-2,-1.779831634E0
4.795575625E0,2.378428788E-1,-5.860079527E-3,-1.884733021E0
4.815557625E0,2.457002941E-1,3.246432602E-1,-2.159320022E0
4.835539625E0,4.067500086E-1,8.250994313E-1,-2.151739107E0
4.855521625E0,1.737674086E-1,9.927902672E-1,-1.867121208E0
4.875503625E0,-1.652305103E-1,9.537124479E-1,-1.405501658E0
4.895485625E0,-2.891347276E-1,9.282954785E-1,-7.900465429E-1
4.915467625E0,-3.259971099E-1,8.738672563E-1,-1.234171808E-2
4.935449625E0,-4.010112223E-1,1.074807115E0,5.076798213E-1
4.955431625E0,-4.418601997E-1,1.223542154E0,9.000578123E-1
4.975413625E0,-2.867663860E-1,1.505645751E0,1.561301304E0
4.995395625E0,-2.840152710E-1,2.062207272E0,2.268905615E0
5.015377625E0,-5.863134697E-2,2.662153087E0,1.899479699E0
5.035359625E0,1.140737175E0,2.205534661E0,1.875088624E0
5.055341625E0,1.557903195E0,1.674274042E0,2.412576966E0
5.075323625E0,1.374291414E0,9.799699545E-2,2.919306614E0
5.095305625E0,1.153315925E0,-1.212729337E0,3.547139701E0
5.115287625E0,9.553422131E-1,-2.449538824E0,3.912584832E0
5.135270625E0,7.309174517E-1,-2.869449161E0,2.723457050E0
5.155252625E0,7.154876728E-1,-2.686012942E0,6.836365736E-1
5.175234625E0,7.616638657E-1,-2.610658705E0,-4.551180303E-1
5.195216625E0,7.001735958E-1,-2.279013842E0,-1.058057181E0
5.215198625E0,1.214184709E0,-1.706075586E0,-1.362255651E0
5.235180625E0,2.076292338E0,-7.489438328E-1,-1.627009975E0
5.255162625E0,2.419906451E0,2.475860211E-1,-1.683348482E0
5.275144625E0,1.657518261E0,3.525904660E-1,-1.611381537E0
5.295126625E0,2.579651944E-1,-1.229299615E-1,-1.575597746E0
5.315108625E0,-4.747693527E-1,-3.834640570E-1,-1.278652162E0
5.335090625E0,-7.608622125E-1,-4.772301534E-1,-1.180519511E0
5.355072625E0,-6.799854259E-1,-3.226131070E-1,-1.096463447E0
5.375054625E0,-4.706023344E-1,-4.950208917E-2,-9.593158346E-1
5.395036625E0,-2.993595891E-1,3.600677392E-1,-9.893044496E-1
5.415019625E0,1.079235211E-2,7.154565364E-1,-1.537437648E0
5.435001625E0,2.581750911E-1,9.569254929E-1,-2.247153972E0
5.454983625E0,5.134753987E-1,8.667709292E-1,-1.939439571E0
5.474965625E0,4.401148789E-1,5.936166421E-1,-1.104950681E0
5.494947625E0,1.670565957E-1,7.040509576E-1,-4.677766675E-1
5.514929625E0,-1.850237373E-1,1.103567083E0,-6.258573121E-1
5.534911625E0,-3.000512599E-1,1.368431042E0,-2.060301518E-1
5.554893625E0,-2.826713433E-1,1.235829786E0,8.256584251E-1
5.574875625E0,-2.722601566E-1,1.381598241E0,1.894034772E0
5.594857625E0,-3.227900583E-1,1.712047640E0,2.007560803E0
5.614839625E0,4.181933751E-1,1.686359360E0,1.668949129E0
5.634821625E0,7.123067875E-1,1.166245288E0,2.580941108E0
5.654803625E0,3.203121911E-1,-3.109949818E-1,3.034282755E0
5.674786625E0,-9.406121632E-2,-1.637415680E0,2.952502427E0
5.694768625E0,-2.591211158E-1,-2.266970917E0,2.539843953E0
5.714750625E0,-5.643252345E-1,-1.597876807E0,1.727611320E0
5.734730500E0,-8.450523238E-1,-7.581817026E-1,-3.845971012E-1
5.754712500E0,-1.550464221E0,-2.836950628E-1,-1.793252748E0
5.774694500E0,-2.366064412E0,-3.574727449E-1,-2.454420226E0
5.794676500E0,-2.624315169E0,-7.495513585E-1,-1.647354777E0
5.814658500E0,-2.043355995E0,-1.046308663E0,-5.828329146E-1
5.834640500E0,-1.213080462E0,-1.052297527E0,3.027138627E-1
5.854622500E0,-4.964180108E-1,-8.661457157E-1,3.323112988E-1
